id,budget,genre,original_language,popularity,year,month,release_date,revenue,runtime,vote_average,vote_count,country
84332,750000,Comedy,en,7.067494,2012,6,2012/6/8,4007792,85,6.8,562,US
80321,145000000,Animation,en,13.829042,2012,6,2012/6/6,746921274,93,6.4,1857,US
84355,125000,Drama,en,10.850569,2011,9,2011/9/11,3200000,90,6.5,140,US
62177,185000000,Animation,en,15.876341,2012,6,2012/6/21,538983207,93,6.7,4760,US
86467,9000000,Romance,en,7.720692,2012,3,2012/3/9,8303261,102,5,155,IT
76494,40000000,Romance,en,7.271503,2012,5,2012/5/17,79700000,110,5.8,611,US
81836,17000000,Romance,en,7.812646,2012,4,2012/4/20,73244881,111,5.6,564,IT
72331,69000000,Action,en,7.922636,2012,6,2012/6/20,112265139,94,5.5,1297,US
80585,75000000,Comedy,en,12.558042,2012,6,2012/6/13,59418613,123,6,392,US
88005,10000000,Comedy,en,6.947533,2012,6,2012/6/22,9636289,101,6.3,713,US
72105,50000000,Comedy,en,19.638605,2012,6,2012/6/29,549368315,106,6.3,4811,US
77930,7000000,Drama,en,8.732425,2012,6,2012/6/28,167221571,110,6.1,1062,US
83770,25000000,Adventure,en,7.323283,2012,5,2012/5/22,8784318,137,5.5,312,BR
1930,215000000,Action,en,31.102267,2012,6,2012/6/27,752215857,136,6.5,6734,US
57800,95000000,Animation,en,13.26958,2012,6,2012/6/26,877244782,88,6.2,2731,US
84175,1800000,Drama,en,5.550496,2012,6,2012/6/29,21107746,93,6.8,411,US
98548,16000000,Drama,en,14.906621,2012,6,2012/6/29,12434778,114,6.6,206,US
82525,45000000,Crime,en,13.248022,2012,7,2012/7/6,82966152,131,6.2,784,US
80035,68000000,Comedy,en,13.276971,2012,7,2012/7/26,68267862,98,5.3,899,US
73567,10000000,Crime,en,6.452069,2011,9,2011/9/10,3665069,102,6.4,433,US
64635,125000000,Action,en,16.42635,2012,8,2012/8/2,198802074,121,5.8,2540,CA
37724,200000000,Action,en,20.309585,2012,10,2012/10/25,1108561013,143,6.9,7718,GB
82696,30000000,Drama,en,7.255301,2012,8,2012/8/7,114281051,100,5.8,287,US
77174,60000000,Family,en,10.425038,2012,8,2012/8/3,107139399,90,6.7,808,US
82650,22000000,Comedy,en,10.225555,2012,8,2012/8/2,77112176,94,6,229,US
109513,2000000,Action,en,7.148558,2012,8,2012/8/22,14400000,100,5.5,225,US
49526,35000000,Crime,en,5.654784,2012,8,2012/8/24,31083599,91,6.2,848,US
82633,26000000,Crime,en,7.968423,2012,8,2012/8/29,53676580,115,6.8,1055,US
71668,5000000,Horror,en,5.615205,2012,5,2012/5/11,8493728,83,4.1,319,US
89691,3000000,Horror,en,8.950643,2012,2,2012/2/17,3010,90,5.1,195,CA
77883,14000000,Horror,en,7.286477,2012,8,2012/8/30,85446075,92,5.8,509,US
48034,25000000,Comedy,fr,7.594334,2010,10,2010/10/20,48531470,154,7.1,396,FR
79694,17000000,Horror,en,7.683008,2012,8,2012/8/23,9627492,82,4.5,140,US
84174,3000000,Comedy,en,10.893224,2012,8,2012/8/6,11947954,87,5.3,457,US
83686,6000000,Drama,en,6.089971,2012,9,2012/9/7,13231461,96,6.4,384,US
114150,17000000,Comedy,en,11.03595,2012,9,2012/9/28,115350426,112,7.3,2310,US
77948,20000000,Action,en,11.112153,2012,4,2012/4/4,16863583,93,4.8,277,US
59967,30000000,Action,en,12.727269,2012,9,2012/9/26,47042000,118,6.6,4777,CN
87428,70000000,Comedy,en,8.923755,2012,6,2012/6/14,58058367,116,5.5,460,US
84329,2500000,Science Fiction,en,9.291494,2012,8,2012/8/16,3325038,85,6.8,454,US
71679,65000000,Action,en,0.948759,2012,9,2012/9/12,240159255,95,5.6,1618,CA
68722,32000000,Drama,en,8.074218,2012,9,2012/9/7,28258060,137,7,720,US
49049,50000000,Action,en,12.1524,2012,9,2012/9/7,41037742,95,6.6,1971,ZA
60599,12000000,Drama,en,5.808496,2012,9,2012/9/14,35485056,100,6.1,300,US
77016,7000000,Crime,en,7.45279,2012,9,2012/9/20,48126384,109,7.2,1186,US
84892,13000000,Drama,en,12.775679,2012,9,2012/9/20,33400000,102,7.7,3056,US
103663,3800000,Drama,da,8.462801,2012,8,2012/8/28,16800000,115,7.9,946,DK
75638,14000000,Thriller,en,11.535478,2012,3,2012/3/2,13551174,119,6,381,ES
82675,45000000,Action,en,16.376482,2012,9,2012/9/27,376141306,91,6.1,2783,FR
82390,12500000,Thriller,en,5.526878,2012,9,2012/9/14,1353868,107,5.4,244,US
88273,8000000,Drama,da,8.168448,2012,3,2012/3/29,7594693,137,7.2,244,CZ
82505,6900000,Horror,en,8.513457,2012,9,2012/9/21,44287131,101,5.6,566,US
110160,9500000,Drama,fr,8.59498,2012,5,2012/5/18,12250,168,7.7,190,CA
97365,15400000,Drama,fr,8.400049,2012,5,2012/5/17,25762027,123,7.1,438,FR
62214,39000000,Animation,en,10.296047,2012,10,2012/10/4,35287788,87,6.6,951,US
82507,3000000,Horror,en,12.490637,2012,3,2012/3/29,77712439,110,6.8,1611,US
76492,85000000,Animation,en,16.231945,2012,9,2012/9/20,358375603,91,6.8,2622,US
68734,44500000,Drama,en,14.238234,2012,10,2012/10/11,232324128,120,7.1,3473,US
86838,15000000,Comedy,en,9.643538,2012,9,2012/9/7,19422261,110,6.7,1224,GB
57089,30000000,Comedy,en,9.382577,2011,4,2011/4/29,13521829,86,4.8,135,US
82990,5000000,Horror,en,6.188286,2012,10,2012/10/17,142817992,95,5.2,574,US
94348,45000000,Action,en,8.279285,2012,10,2012/10/18,30353232,101,5.1,303,US
83542,102000000,Drama,en,13.494246,2012,10,2012/10/26,130482868,172,6.6,3031,DE
61012,20000000,Thriller,en,5.745206,2012,10,2012/10/10,52302796,94,5.1,435,FR
64689,15000000,Crime,en,6.777326,2012,9,2012/9/20,37930465,97,5.8,751,US
113947,1000000,Drama,en,5.760319,2012,5,2012/5/2,9138338,98,6.6,183,US
82690,165000000,Family,en,13.697597,2012,11,2012/11/1,471222889,108,7.1,4656,US
82693,21000000,Drama,en,14.488111,2012,9,2012/9/8,205738714,122,7,4840,US
